"date","userType","users","sessions","pageviews","sessionDuration","bounces","X3pg","Buypg","SocialShare","RCA","viewName"
2015-11-01,"New Visitor",54978,54890,177376,7862681,24765,18800,14191,10,2092,"01 TS Main"
2015-11-01,"Returning Visitor",39931,47241,158899,8092281,23284,14463,7853,24,1637,"01 TS Main"
2015-11-02,"New Visitor",44768,44693,153681,6659280,19334,16188,12394,14,1766,"01 TS Main"
2015-11-02,"Returning Visitor",31443,37747,126899,6383499,17690,11746,6875,41,1213,"01 TS Main"
2015-11-03,"New Visitor",41772,41724,138705,6046973,17238,15173,11335,20,1389,"01 TS Main"
2015-11-03,"Returning Visitor",34231,41646,135390,7463552,18583,12989,7595,44,1148,"01 TS Main"
2015-11-04,"New Visitor",41656,41602,129847,6022086,17795,13940,10180,41,1080,"01 TS Main"
2015-11-04,"Returning Visitor",39493,46147,134453,7869336,21103,13036,6868,65,937,"01 TS Main"
2015-11-05,"New Visitor",39160,39102,126491,5682999,16008,13739,9908,24,1172,"01 TS Main"
2015-11-05,"Returning Visitor",33630,39095,123128,7008411,17656,11420,5869,54,730,"01 TS Main"
2015-11-06,"New Visitor",44374,44306,142904,6250086,18729,15380,11457,20,1437,"01 TS Main"
2015-11-06,"Returning Visitor",33338,38827,123876,6746744,17126,11807,6515,34,975,"01 TS Main"
2015-11-07,"New Visitor",57889,57814,188646,8845389,23454,20424,14891,37,2004,"01 TS Main"
2015-11-07,"Returning Visitor",42818,50236,157282,8875086,22635,14599,8441,48,1274,"01 TS Main"
2015-11-08,"New Visitor",58371,58286,185365,8451575,24548,20016,14884,14,1742,"01 TS Main"
2015-11-08,"Returning Visitor",40688,47584,150084,8615518,21283,14072,8458,37,1359,"01 TS Main"
2015-11-09,"New Visitor",38338,38287,120170,5161827,16457,13328,10771,31,1073,"01 TS Main"
2015-11-09,"Returning Visitor",27207,31925,99712,5321500,14809,9021,5326,37,791,"01 TS Main"
2015-11-10,"New Visitor",38083,38042,121916,5218480,15574,13366,9748,34,1104,"01 TS Main"
2015-11-10,"Returning Visitor",31657,37057,113095,6079645,16324,10509,6015,61,707,"01 TS Main"
2015-11-11,"New Visitor",41313,41269,128889,5843735,17204,14015,10397,17,1172,"01 TS Main"
2015-11-11,"Returning Visitor",35668,42020,124705,7585777,18335,11403,6386,65,819,"01 TS Main"
2015-11-12,"New Visitor",36371,36317,119610,5063053,14595,12958,9324,37,992,"01 TS Main"
2015-11-12,"Returning Visitor",29422,34469,105541,6002215,15010,10506,5221,41,642,"01 TS Main"
2015-11-13,"New Visitor",43579,43460,138665,5686371,16851,14928,10207,31,1134,"01 TS Main"
2015-11-13,"Returning Visitor",33460,39449,120075,6347356,16477,11284,5852,65,992,"01 TS Main"
2015-11-14,"New Visitor",55657,55590,179489,7791929,22364,19385,13607,24,1715,"01 TS Main"
2015-11-14,"Returning Visitor",38936,46276,144510,7948827,19877,13512,7456,44,1213,"01 TS Main"
2015-11-15,"New Visitor",56585,56513,183443,8090009,22741,20424,14477,24,1776,"01 TS Main"
2015-11-15,"Returning Visitor",39099,46609,156538,8408720,19860,14188,8186,58,1372,"01 TS Main"
2015-11-16,"New Visitor",39877,39815,127697,5491682,17530,13821,12639,20,1219,"01 TS Main"
2015-11-16,"Returning Visitor",25869,30954,98428,5124515,13705,9001,5187,44,849,"01 TS Main"
2015-11-17,"New Visitor",42968,42893,131586,5832509,18131,13947,11399,58,1141,"01 TS Main"
2015-11-17,"Returning Visitor",32119,37672,112337,6471146,16093,10244,6138,48,883,"01 TS Main"
2015-11-18,"New Visitor",45074,43185,123686,5882922,16983,13427,10693,27,1230,"01 TS Main"
2015-11-18,"Returning Visitor",38688,42017,112195,7342927,16372,10030,5920,82,883,"01 TS Main"
2015-11-19,"New Visitor",45155,43620,130594,5748741,18546,13672,11182,24,1107,"01 TS Main"
2015-11-19,"Returning Visitor",33043,35977,103679,6976680,13121,10081,5503,44,839,"01 TS Main"
2015-11-20,"New Visitor",54788,53079,155974,6889297,22330,17014,12479,31,1433,"01 TS Main"
2015-11-20,"Returning Visitor",33674,36986,107837,6843069,13539,10377,6263,58,975,"01 TS Main"
2015-11-21,"New Visitor",70086,67851,202474,9388602,27645,22397,16416,10,1824,"01 TS Main"
2015-11-21,"Returning Visitor",44907,49673,151406,9168675,18515,14398,8651,51,1253,"01 TS Main"
2015-11-22,"New Visitor",72362,70117,211088,9779393,28586,22958,17533,71,1943,"01 TS Main"
2015-11-22,"Returning Visitor",45434,50488,158358,9399987,19273,14765,8947,68,1365,"01 TS Main"
2015-11-23,"New Visitor",51262,49842,144952,6633808,20869,16066,12968,20,1365,"01 TS Main"
2015-11-23,"Returning Visitor",33905,38263,113866,6612919,15496,10716,7024,65,1060,"01 TS Main"
2015-11-24,"New Visitor",48817,47815,144959,6643679,20900,15441,12214,34,1681,"01 TS Main"
2015-11-24,"Returning Visitor",32523,37336,116464,6758143,15628,10812,6854,51,1179,"01 TS Main"
2015-11-25,"New Visitor",53171,52315,156718,6567720,23376,16294,15458,20,2160,"01 TS Main"
2015-11-25,"Returning Visitor",32801,38881,122721,7320522,15747,11569,7965,48,1783,"01 TS Main"
2015-11-26,"New Visitor",53538,52767,168137,7517191,22676,16688,18828,14,2252,"01 TS Main"
2015-11-26,"Returning Visitor",31429,37108,126484,7149436,14915,11457,8913,20,1372,"01 TS Main"
2015-11-27,"New Visitor",64316,63575,201367,9176498,27109,20658,23050,24,3230,"01 TS Main"
2015-11-27,"Returning Visitor",37044,43511,150434,8658027,17758,13665,11036,24,1977,"01 TS Main"
2015-11-28,"New Visitor",76149,75188,233992,10542341,32988,23804,26745,41,3461,"01 TS Main"
2015-11-28,"Returning Visitor",43800,51772,187923,10544178,20512,16803,13281,34,2198,"01 TS Main"
2015-11-29,"New Visitor",74461,73310,234637,10464951,31429,23695,25916,31,3356,"01 TS Main"
2015-11-29,"Returning Visitor",43073,51187,183222,10358827,20652,16385,12833,48,2038,"01 TS Main"
2015-11-30,"New Visitor",53742,52940,173399,7677510,22914,17832,17622,31,2524,"01 TS Main"
2015-11-30,"Returning Visitor",32424,38345,135170,7765354,15186,12523,10085,31,1552,"01 TS Main"
2015-12-01,"New Visitor",52835,51578,165138,7280826,22591,17550,15288,14,1705,"01 TS Main"
2015-12-01,"Returning Visitor",31528,36680,125883,6809167,14674,11735,8641,31,1134,"01 TS Main"
2015-12-02,"New Visitor",57267,55790,168385,6817394,26609,17489,16620,20,1039,"01 TS Main"
2015-12-02,"Returning Visitor",35824,40593,127986,6627416,18569,11939,8053,24,768,"01 TS Main"
2015-12-03,"New Visitor",58076,55956,161483,6689398,27577,16932,16491,31,1036,"01 TS Main"
2015-12-03,"Returning Visitor",35855,39109,115296,6206317,18661,11355,7116,27,642,"01 TS Main"
2015-12-04,"New Visitor",71330,69798,195287,7870338,35590,20203,17703,65,1240,"01 TS Main"
2015-12-04,"Returning Visitor",50325,55814,161755,8468820,27937,15669,8312,48,611,"01 TS Main"
2015-12-05,"New Visitor",86278,84019,244545,9853161,40712,25920,20716,65,1430,"01 TS Main"
2015-12-05,"Returning Visitor",58456,66201,213191,10903445,30339,21110,11178,54,958,"01 TS Main"
2015-11-01,"New Visitor",67168,67168,166729,8153729,11843,20024,12587,0,2188,"01 NFS Main"
2015-11-01,"Returning Visitor",29824,37318,93025,5780964,8352,10767,6914,0,1365,"01 NFS Main"
2015-11-02,"New Visitor",78354,78354,191118,9891040,14397,22998,20340,0,3310,"01 NFS Main"
2015-11-02,"Returning Visitor",37183,46166,111379,7423750,9867,13405,12572,0,2850,"01 NFS Main"
2015-11-03,"New Visitor",172103,172103,344619,16175993,56530,34628,29028,0,3791,"01 NFS Main"
2015-11-03,"Returning Visitor",54958,67861,149441,10022815,15840,16611,11496,0,2400,"01 NFS Main"
2015-11-04,"New Visitor",177672,177672,342468,15788409,51720,34277,32565,0,3770,"01 NFS Main"
2015-11-04,"Returning Visitor",60522,73358,154349,10361771,18576,16425,10374,0,1851,"01 NFS Main"
2015-11-05,"New Visitor",209022,209022,394876,17301587,59803,39205,42541,0,3615,"01 NFS Main"
2015-11-05,"Returning Visitor",64851,78612,166057,10133935,19171,17914,10477,0,1526,"01 NFS Main"
2015-11-06,"New Visitor",204047,204047,379015,17010198,64783,37137,46073,0,2725,"01 NFS Main"
2015-11-06,"Returning Visitor",62823,74702,153568,9048798,19186,15820,9562,0,1102,"01 NFS Main"
2015-11-07,"New Visitor",197112,197112,357703,15258076,70700,33811,44749,0,2244,"01 NFS Main"
2015-11-07,"Returning Visitor",58598,69981,142087,7936810,20133,14248,9666,0,910,"01 NFS Main"
2015-11-08,"New Visitor",176948,176948,321471,13688943,62911,30843,40012,0,2157,"01 NFS Main"
2015-11-08,"Returning Visitor",57347,67664,131392,7862014,19119,13229,8962,0,791,"01 NFS Main"
2015-11-09,"New Visitor",140489,140489,257722,10797046,53846,24751,35068,0,1707,"01 NFS Main"
2015-11-09,"Returning Visitor",44041,52553,109527,6868361,15814,11103,7556,0,734,"01 NFS Main"
2015-11-10,"New Visitor",130337,130337,241877,9192105,53603,23148,35073,0,1226,"01 NFS Main"
2015-11-10,"Returning Visitor",37545,44578,92766,5580858,14718,9578,7462,0,688,"01 NFS Main"
2015-11-11,"New Visitor",123599,123599,233488,9295142,47971,22646,35451,0,1376,"01 NFS Main"
2015-11-11,"Returning Visitor",35663,42882,91432,5045819,14154,9490,7297,0,822,"01 NFS Main"
2015-11-12,"New Visitor",116333,116333,225183,8454390,41967,22832,26163,0,1319,"01 NFS Main"
2015-11-12,"Returning Visitor",35704,43456,95290,5052402,13689,9991,6661,0,631,"01 NFS Main"
2015-11-13,"New Visitor",123356,123356,231358,9062052,40322,22129,26157,0,1133,"01 NFS Main"
2015-11-13,"Returning Visitor",48772,56359,104542,6769528,12836,9578,5787,0,434,"01 NFS Main"
2015-11-14,"New Visitor",115883,115883,216500,8206473,39216,21938,26778,0,988,"01 NFS Main"
2015-11-14,"Returning Visitor",40627,48814,99438,5614705,13311,10369,5828,0,367,"01 NFS Main"
2015-11-15,"New Visitor",116023,116023,227288,8826630,39360,23355,25666,0,1019,"01 NFS Main"
2015-11-15,"Returning Visitor",39846,47014,95880,5689237,12934,10157,5616,0,326,"01 NFS Main"
2015-11-16,"New Visitor",75742,75742,150817,6119573,20577,17175,11460,0,926,"01 NFS Main"
2015-11-16,"Returning Visitor",33129,39128,76678,4412723,10012,7830,3972,0,290,"01 NFS Main"
2015-11-17,"New Visitor",71868,71868,149007,6078879,20381,16513,12117,0,724,"01 NFS Main"
2015-11-17,"Returning Visitor",29509,34659,68455,4141736,9102,7038,3967,0,326,"01 NFS Main"
2015-11-18,"New Visitor",69205,69205,139889,5691150,20226,15737,12443,0,750,"01 NFS Main"
2015-11-18,"Returning Visitor",25971,31526,62705,3521346,9562,6516,4339,0,264,"01 NFS Main"
2015-11-19,"New Visitor",71553,71553,141089,5650099,22946,15411,13896,0,734,"01 NFS Main"
2015-11-19,"Returning Visitor",24037,28981,61148,3283126,8600,6526,3786,0,295,"01 NFS Main"
2015-11-20,"New Visitor",71377,71377,143597,5716915,22506,15964,14335,0,729,"01 NFS Main"
2015-11-20,"Returning Visitor",24327,29757,62627,3624104,8900,6702,3822,0,233,"01 NFS Main"
2015-11-21,"New Visitor",86168,86168,165571,6461865,27119,17687,16414,0,708,"01 NFS Main"
2015-11-21,"Returning Visitor",31065,36971,73249,4155290,10436,7354,4582,0,274,"01 NFS Main"
2015-11-22,"New Visitor",83778,83778,169108,6690704,25232,18323,13601,0,853,"01 NFS Main"
2015-11-22,"Returning Visitor",29922,35911,71899,3870656,10519,7354,4561,0,228,"01 NFS Main"
2015-11-23,"New Visitor",79026,79026,148117,7689224,19838,15334,10493,0,750,"01 NFS Main"
2015-11-23,"Returning Visitor",45194,51860,86804,7633987,9841,7649,3439,0,290,"01 NFS Main"
2015-11-24,"New Visitor",79962,79962,141446,7635192,21162,13177,9981,0,672,"01 NFS Main"
